Restaurant,Food Item,Cuisine,Price,Rating,Rating Count,View on Swiggy
The back benchers,Crispy Chicken Legs( 2 Pcs) + Coke 200 Ml,"Pizzas,Fast Food",290,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Crispy Chicken Boneless Strips(4 Pcs) + Coke 200 Ml,"Pizzas,Fast Food",270,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Crispy Chicken Popcorn + Coke 200 Ml,"Pizzas,Fast Food",299,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Grilled Chicken Sandwich + Coke 200 Ml,"Pizzas,Fast Food",270,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Grilled Veg Sandwich + Coke 200 Ml,"Pizzas,Fast Food",260,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Chicken Burger + Coke 200 Ml,"Pizzas,Fast Food",270,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Veg Burger + Coke 200 Ml,"Pizzas,Fast Food",260,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Tandoori Chicken Pizza 8 Inch 8 Pcs + Coke 200 Ml,"Pizzas,Fast Food",349,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Crispy Chicken Lollipop 3 Pcs + Coke 200 M,"Pizzas,Fast Food",260,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Crispy Chicken Hotwings(4 Pcs) + Coke 200 Mcs,"Pizzas,Fast Food",260,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,American Sweetcorn Pizza 8 Inch 8 Pcs + Coke 200m,"Pizzas,Fast Food",310,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Hot Wings(4) + Lollipop (4)+ Drink [200ml],"Pizzas,Fast Food",480,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Chicken Popcorn + Lollipop(4) + Wings(4) + Drink [200ml],"Pizzas,Fast Food",600,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Chicken Burger + French Fries + Drink Mi,"Pizzas,Fast Food",420,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
The back benchers,Veg Burger + French Fries + Drink [200ml],"Pizzas,Fast Food",399,--,Too Few Ratings,https://www.swiggy.com/restaurants/the-back-benchers-n-a-d-vizag-478475
