Restaurant,Food Item,Category,Price,View on Zomato,Restaurant Price (for one)
NIC Ice Creams,Sitaphal Ice Cream 500ml,Newly Launched,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Belgian Chocolate No Added Sugar 100ml,No Added Sugar range,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Tender Coconut No Added Sugar 100ml,No Added Sugar range,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Roasted Almond No Added Sugar 500ml,No Added Sugar range,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Belgian Chocolate No Added Sugar 500ml,No Added Sugar range,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,No Added Sugar Desi Malai Stick Kulfi 70ml,No Added Sugar range,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,No Added Sugar Kesar Pista Stick Kulfi 70ml,No Added Sugar range,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,French Vanilla Ice Cream 100ml,100 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Mixed Berries Ice Cream 100ml,100 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Alphonso Mango 100ml,100 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Madagascar Chocolate Ice Cream 100ml,100 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Sea Salt Caramel Ice Cream 100ml,100 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Belgian Chocolate Ice Cream 100ml,100 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Mixed Berries Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Anjeer Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Alphonso Mango Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Tender Coconut Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,French Vanilla Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Chocochips Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Velvety Nutella Ice-cream 500 ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Madagascar Chocolate Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Strawberry Cheesecake Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Sea Salt Caramel Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Gulab Jamun Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Roasted Almond Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Dryfruit Overload Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Cookies N Cream Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Paan Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Belgian Chocolate Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Strawberry Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Chikoo Ice Cream 500ml,500 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Alphonso Mango Ice Cream 750ml,750 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Tender Coconut Ice Cream 750ml,750 ml Ice creams,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Stick Kesar Pista Kulfi,Kulfi,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
NIC Ice Creams,Sitaphal Smash,Sitaphal Combos,,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,
KFC,Value Burger Meals (Starting From 99),,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Krisper with Reg Fries,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Krisper With Med Fries,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Krisper with 2 Hot Wings,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Krisper with 2 Chicken Strips,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Krisper with Reg Chicken Popcorn,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Krisper Meal,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chana Burger with Reg Fries,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Burgers And Meals,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Gold Chicken Zinger,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Zinger Burger - Classic,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Zinger Burger - Tandoori,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Spicy Zinger Burger,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,2 Classic Chicken Krisper Burgers,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Zinger Pro Burger,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Veg Burgers And Meals,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Gold Edition - Veg Zinger Burger,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chatpata Chana Veg Burger - 2 pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Paneer Zinger Burger,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Veg Longer Burger - 2pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Veg Zinger Burger,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Veg Krisper Burgers - 2pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Rolls,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Shawarma,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Shawarma & Pepsi Combo,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Shawarma Regular Meal,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Shawarma Snackbox,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Shawarma Box Meal,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Shawarma Big Box,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Thai Spicy Chicken Roll,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Indian Tandoori Chicken Roll,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Indian Spicy Veg Roll,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Classic Chicken Roll,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Double Chicken Roll,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Peri Peri Chicken Strips & Leg Pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Peri Peri Leg Fiesta,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Peri Peri Snack Feast,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Peri Peri Chicken 5 Leg Piece Bucket,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Peri Peri Chicken Strips - 6 Pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Peri Peri Chicken Strips - 3 pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Epic Value Meals For 1-2 (Up To Rs 22% Off),,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Peri Peri Grand Feast,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Jumbo Zinger Meal,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Thrice as Nice,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Mad Duo Meal,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Full-on Bowl Meal,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Pure Veggie Bliss,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Fiery Indulgent Box,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Peri Peri Wingman Feast,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,"Wings, Strips & Popcorn Feast",,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Signature Wing & Leg Box,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Classic Zinger Box,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Big Big Chicken Buckets,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Big 12 Chicken Feast Bucket,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Full House Popcorn Bucket,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Ultimate Chicken & Popcorn Feast,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Ultimate Savings Chicken Bucket,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,All in One Chicken Bucket,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Big 8 - Chicken Bucket,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Big 12,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Stay Home Bucket,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Mingles Bucket,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Epic Savers Chicken Bucket,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Rice Bowlz,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Plain Rice Bowlz,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Hot & Crispy Chicken & Grilled Wings,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Hot & Crispy Chicken - 8 pcs,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Hot & Crispy Chicken - 6 pcs,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Hot & Crispy Chicken - 4 pcs,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Hot & Crispy Chicken- 2 pcs,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Hot Chicken Wings - 4 pcs,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Hot & Crispy Chicken - 1 pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Boneless Chicken Popcorn,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Popcorn - Large,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Popcorn - Medium,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Chicken Popcorn - Regular,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Grilled Smoky Red Chicken,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Smoky Red Grilled Chicken - 5 pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Smoky Red Grilled Chicken - 2 pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Smoky Red Grilled Chicken - 1 pc,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Sides And Dips,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Gold Edition - Regular Fries,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,2 pc Veg Patty,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,French Fries - Large,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,French Fries - Medium,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,KFC*Tandoori Flavour Dip - 20 gm,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Desserts,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Choco Lava Cake,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Choco Mud Pie,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Drinks (Beverages),,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Virgin Mojito Reusable Bottle,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Dew Mojito Reusable Bottle,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Pepsi Reusable Bottle,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,7Up Reusable Bottle,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Mirinda Reusable Bottle,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Mountain Dew Reusable Bottle,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Pepsi Can Black 330 ML,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Special Deals Starting 279,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Signature Leg & Wing Box,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Classic Zinger Combo Meal : DOTD,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Crunch Duo Feast : DOTD,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Wings & Popcorn Delight : DOTD,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Crispy Chicken Combo Meal : DOTD,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Snack Treat Box : DOTD,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
KFC,Zinger Pop Combo Meal : DOTD,,,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Combos,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Chana Masala Combo,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Mushroom Masala Combo,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Paneer Butter Masala Combo,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Kaju Paneer Biryani with Punjabi Lassi,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Special Veg Biryani with Punjabi Lassi,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Malai Kofta Combo,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Kaju Paneer Combo,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Methi Chaman Combo,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Kaju Tomato Combo,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Thali,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Special Punjabi Thali,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Special Family Pack Punjabi Thali,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
New Dhaba Shere-Punjab Pure Veg Restaurant,Rice and Biryani,,,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,
